timestamp,Panther_office_Karla,Panther_office_Catherine,Panther_office_Ruthie
2017-01-01 00:00:00,18.1235,17.6434,70.0135
2017-01-01 01:00:00,18.3635,18.3635,65.3126
2017-01-01 02:00:00,18.2435,17.8435,71.1137
2017-01-01 03:00:00,18.1235,18.6836,64.9125
2017-01-01 04:00:00,16.9233,17.6834,73.8142
2017-01-01 05:00:00,16.2031,18.4836,89.6173
2017-01-01 06:00:00,16.2031,79.8554,106.6206
2017-01-01 07:00:00,16.0831,97.5788,110.2213
2017-01-01 08:00:00,16.2031,88.29700000000003,107.2207
2017-01-01 09:00:00,17.2833,76.8948,103.82
2017-01-01 10:00:00,16.8033,69.0133,99.7193
2017-01-01 11:00:00,16.8033,75.2545,110.1213
2017-01-01 12:00:00,16.8033,65.3726,95.7185
2017-01-01 13:00:00,16.5632,65.0926,100.5194
2017-01-01 14:00:00,16.8033,68.9733,96.6187
2017-01-01 15:00:00,18.3635,64.2124,89.9173
2017-01-01 16:00:00,18.2435,66.5728,95.3184
2017-01-01 17:00:00,18.1235,70.7337,87.3168
2017-01-01 18:00:00,17.8835,73.5342,103.4199
2017-01-01 19:00:00,18.1235,77.0949,104.7202
2017-01-01 20:00:00,18.7236,83.2961,111.1214
2017-01-01 21:00:00,18.6036,67.7731,113.822
2017-01-01 22:00:00,18.2435,68.4132,105.6204
2017-01-01 23:00:00,18.0035,33.2464,87.2168
2017-01-02 00:00:00,18.0035,18.5636,67.313
2017-01-02 01:00:00,18.0035,17.5634,74.7144
2017-01-02 02:00:00,18.1235,17.4434,68.2132
2017-01-02 03:00:00,18.0035,18.2435,68.6133
2017-01-02 04:00:00,16.8033,17.7234,73.7142
2017-01-02 05:00:00,16.0831,17.3233,83.7161
2017-01-02 06:00:00,27.0052,62.212,101.0195
2017-01-02 07:00:00,33.6065,72.654,102.7198
2017-01-02 08:00:00,35.5269,74.1743,107.2207
2017-01-02 09:00:00,36.0069,75.8546,95.1184
2017-01-02 10:00:00,38.7675,65.6127,110.8214
2017-01-02 11:00:00,37.4472,63.0522,102.7198
2017-01-02 12:00:00,39.9677,62.8121,108.1209
2017-01-02 13:00:00,40.4478,61.7719,109.8212
2017-01-02 14:00:00,40.5678,62.5321,109.5211
2017-01-02 15:00:00,41.1679,55.3307,101.8196
2017-01-02 16:00:00,41.288,56.5709,98.519
2017-01-02 17:00:00,38.0473,58.6513,102.4198
2017-01-02 18:00:00,38.1674,73.5742,99.1191
2017-01-02 19:00:00,43.3283,73.6942,101.6196
2017-01-02 20:00:00,43.0883,68.0531,103.1199
2017-01-02 21:00:00,23.8846,72.374,102.3197
2017-01-02 22:00:00,17.7634,73.0941,111.6215
2017-01-02 23:00:00,18.0035,34.3666,77.3149
2017-01-03 00:00:00,17.8835,21.9642,67.8131
2017-01-03 01:00:00,17.8835,36.5271,70.3136
2017-01-03 02:00:00,17.7634,23.9646,66.9129
2017-01-03 03:00:00,17.8835,24.0046,73.6142
2017-01-03 04:00:00,16.6832,22.3243,66.4128
2017-01-03 05:00:00,15.9631,22.6844,82.616
2017-01-03 06:00:00,26.1651,48.4094,75.4146
2017-01-03 07:00:00,30.6059,73.1741,90.0174
2017-01-03 08:00:00,40.3278,72.0939,104.1201
2017-01-03 09:00:00,48.9694,69.4534,111.4215
2017-01-03 10:00:00,52.2101,65.0526,120.6233
2017-01-03 11:00:00,52.3301,63.6123,113.2219
2017-01-03 12:00:00,54.0104,57.051,113.4219
2017-01-03 13:00:00,47.8892,62.5721,110.9214
2017-01-03 14:00:00,46.929,57.291,122.1236
2017-01-03 15:00:00,47.2891,57.21100000000001,110.2213
2017-01-03 16:00:00,46.809,59.2914,98.1189
2017-01-03 17:00:00,43.0883,50.6098,103.2199
2017-01-03 18:00:00,41.528,57.4911,112.0216
2017-01-03 19:00:00,41.528,62.7721,116.3225
2017-01-03 20:00:00,40.4478,66.5728,112.2217
2017-01-03 21:00:00,40.6878,67.6531,118.7229
2017-01-03 22:00:00,41.288,74.5344,113.4219
2017-01-03 23:00:00,42.8483,42.3682,88.117
2017-01-04 00:00:00,45.1287,19.1237,66.0127
2017-01-04 01:00:00,46.68899999999999,18.0835,73.1141
2017-01-04 02:00:00,45.0087,19.1637,66.7129
2017-01-04 03:00:00,47.1691,18.6436,72.0139
2017-01-04 04:00:00,47.1691,17.8034,65.5127
2017-01-04 05:00:00,50.5297,18.6436,90.2174
2017-01-04 06:00:00,49.3295,37.4872,97.9189
2017-01-04 07:00:00,50.7698,61.1718,105.6204
2017-01-04 08:00:00,57.25100000000001,67.493,109.3211
2017-01-04 09:00:00,57.6111,64.6925,121.6235
2017-01-04 10:00:00,59.5315,61.6519,107.0206
2017-01-04 11:00:00,53.6503,60.3717,125.9243
2017-01-04 12:00:00,50.2897,60.2516,118.4228
2017-01-04 13:00:00,51.97,61.1718,111.5215
2017-01-04 14:00:00,54.0104,60.0116,113.0218
2017-01-04 15:00:00,53.8904,59.0914,105.5204
2017-01-04 16:00:00,53.1703,60.8517,99.7193
2017-01-04 17:00:00,47.0491,60.2116,106.2205
2017-01-04 18:00:00,50.4097,67.9331,114.322
2017-01-04 19:00:00,53.1703,66.3328,118.9229
2017-01-04 20:00:00,53.7704,68.5332,128.9249
2017-01-04 21:00:00,47.8892,72.61399999999998,125.2242
2017-01-04 22:00:00,50.5297,72.694,135.3261
2017-01-04 23:00:00,51.97,39.9677,86.8167
2017-01-05 00:00:00,53.4103,19.7238,73.9143
2017-01-05 01:00:00,55.4507,20.484,68.7133
2017-01-05 02:00:00,53.8904,20.4039,75.3145
2017-01-05 03:00:00,61.6919,20.444000000000006,67.21300000000001
2017-01-05 04:00:00,58.5713,20.604,73.8142
2017-01-05 05:00:00,61.3318,20.0839,99.8192
2017-01-05 06:00:00,58.9314,59.2114,123.3238
2017-01-05 07:00:00,59.5315,86.6167,125.6242
2017-01-05 08:00:00,58.6913,81.0556,130.1251
2017-01-05 09:00:00,69.1333,72.9741,131.6254
2017-01-05 10:00:00,63.4922,64.9325,117.9227
2017-01-05 11:00:00,65.1726,62.092,129.0249
2017-01-05 12:00:00,48.1293,59.5715,112.4217
2017-01-05 13:00:00,46.809,59.8115,109.4211
2017-01-05 14:00:00,48.4894,59.6515,112.9218
2017-01-05 15:00:00,52.2101,61.7319,105.2203
2017-01-05 16:00:00,51.2499,61.2918,103.3199
2017-01-05 17:00:00,49.9296,59.8915,101.9197
2017-01-05 18:00:00,49.9296,71.0137,113.2219
2017-01-05 19:00:00,54.3705,76.3347,122.9237
2017-01-05 20:00:00,54.2505,74.1343,126.4244
2017-01-05 21:00:00,53.1703,79.8954,127.8247
2017-01-05 22:00:00,54.4905,82.616,123.8239
2017-01-05 23:00:00,59.0514,45.4488,88.01700000000002
2017-01-06 00:00:00,58.0912,21.2041,67.21300000000001
2017-01-06 01:00:00,61.8119,21.1641,68.4132
2017-01-06 02:00:00,62.052,21.8042,69.0133
2017-01-06 03:00:00,65.7727,21.4041,65.7127
2017-01-06 04:00:00,72.8541,21.7642,70.2135
2017-01-06 05:00:00,70.3336,21.5642,104.5202
2017-01-06 06:00:00,68.7733,71.2537,134.826
2017-01-06 07:00:00,70.3336,91.8577,135.2261
2017-01-06 08:00:00,76.4548,93.258,145.128
2017-01-06 09:00:00,72.9741,86.4167,134.1259
2017-01-06 10:00:00,65.6527,74.7744,115.9224
2017-01-06 11:00:00,63.7323,71.0937,118.6229
2017-01-06 12:00:00,61.0918,70.5336,127.9247
2017-01-06 13:00:00,60.3717,66.4528,117.6227
2017-01-06 14:00:00,57.011,70.4536,118.2228
2017-01-06 15:00:00,57.9712,72.0139,110.2213
2017-01-06 16:00:00,51.4899,68.1331,98.419
2017-01-06 17:00:00,50.7698,62.6121,112.5217
2017-01-06 18:00:00,51.73,73.5742,111.4215
2017-01-06 19:00:00,52.5701,73.4542,116.8226
2017-01-06 20:00:00,50.5297,76.3347,120.8233
2017-01-06 21:00:00,50.5297,74.0543,123.8239
2017-01-06 22:00:00,51.6099,78.5751,125.8243
2017-01-06 23:00:00,54.4905,41.24800000000001,91.4176
2017-01-07 00:00:00,56.4109,22.9644,69.3134
2017-01-07 01:00:00,56.4109,23.4045,72.814
2017-01-07 02:00:00,54.9706,24.4047,71.7138
